% Relation generated from XXXXXXL1 2.xls
@relation XXXXXXL1 2

@attribute ID numeric
@attribute status_pozyczki numeric
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć numeric
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
1,'splacona_cz','700.0','75','mężczyzna','13','2098.0','1','194','48','2'
2,'splacona','1000.0','69','kobieta','13','2291.0','2','68','48','14'
3,'splacona_cz','300.0','61','mężczyzna','16','837.0','0','228','48','0'
4,'odmowa','250.0','34','kobieta','12','1040.0','0','0','0','0'
5,'splacona_cz','200.0','72','kobieta','13','730.0','0','558','48','0'
6,'windykacja','300.0','43','kobieta','12','1100.0','0','12','17','5372'
7,'splacona_cz','500.0','51','kobieta','11','1700.0','1','303','48','4'
8,'windykacja_sp','2000.0','56','mężczyzna','11','2031.0','1','111','48','222'
9,'splacona_cz','200.0','79','kobieta','13','1442.43','2','138','48','0'
10,'splacona_cz','200.0','46','mężczyzna','11','1360.0','2','117','48','0'
11,'splacona_cz','300.0','52','kobieta','12','1050.0','0','31','5','0'
12,'splacona_cz','500.0','65','kobieta','16','892.0','0','198','48','0'
13,'splacona','1130.33','48','kobieta','12','1500.0','1','11','15','32'
14,'splacona_cz','400.0','66','kobieta','13','850.0','1','64','48','5'
15,'splacona_cz','800.0','57','mężczyzna','12','2500.0','0','2','1','4'
16,'splacona_cz','300.0','65','kobieta','13','1350.0','0','108','48','0'
17,'splacona_cz','903.23','36','kobieta','11','1900.0','1','176','48','6'
18,'splacona_cz','700.0','52','mężczyzna','11','3200.0','1','186','48','0'
19,'splacona_cz','700.0','27','kobieta','11','2100.0','0','20','48','0'
20,'splacona_cz','200.0','56','kobieta','17','547.89','0','53','5','0'
21,'odmowa','600.0','22','mężczyzna','17','443.65','0','10','25','0'
22,'odmowa','700.0','45','mężczyzna','11','3000.0','0','1','48','0'
23,'splacona','400.0','60','kobieta','16','1411.0','1','63','48','17'
24,'splacona_cz','700.0','28','mężczyzna','12','1800.0','1','8','0','0'
25,'splacona_cz','300.0','65','kobieta','13','1210.0','0','135','48','6'
26,'splacona_cz','500.0','29','kobieta','12','1447.0','2','19','5','5'
27,'odmowa','300.0','32','kobieta','11','1515.11','0','11','48','0'
28,'splacona_cz','300.0','30','mężczyzna','12','1037.34','0','17','7','0'
29,'splacona_cz','200.0','72','kobieta','13','785.0','1','61','48','0'
30,'splacona','449.7','23','mężczyzna','99','980.0','2','9','1','384'
31,'splacona_cz','500.0','53','mężczyzna','11','1320.0','1','339','48','3'
32,'splacona_cz','200.0','69','kobieta','16','959.6','1','112','48','0'
33,'splacona_cz','600.0','47','kobieta','11','1700.0','1','86','48','0'
34,'splacona_cz','300.0','49','mężczyzna','13','3900.0','2','27','48','3'
35,'splacona','200.0','67','kobieta','13','720.19','0','90','48','0'
36,'splacona_cz','300.0','19','mężczyzna','99','750.0','1','1','4','0'
37,'windykacja_sp','500.0','56','kobieta','13','1425.0','1','17','48','465'
38,'splacona_cz','300.0','48','kobieta','11','1077.49','1','369','48','3'
39,'windykacja','200.0','38','kobieta','99','2800.0','2','7','0','5371'
40,'splacona_cz','600.0','53','mężczyzna','11','4000.0','2','7','48','0'
41,'splacona_cz','700.0','64','mężczyzna','13','2010.0','0','135','48','0'
42,'splacona_cz','1000.0','42','mężczyzna','11','2258.0','2','72','48','3'
